symbol,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,profit,investment,note
SUMEETINDS,2025-12-09,2025-12-09,30.24,2025-12-16,29.54,-2.31%,-23.15,1000.00,
METALIETF,2025-12-09,2025-12-09,10.15,2025-12-16,10.51,3.55%,35.47,1000.00,
METAL,2025-12-09,2025-12-09,10.15,2025-12-16,10.49,3.35%,33.50,1000.00,
INDOTHAI,2025-12-09,2025-12-09,375.10,2025-12-16,399.35,6.46%,64.65,1000.00,
HCG,2025-12-09,2025-12-09,698.40,2025-12-16,721.50,3.31%,33.08,1000.00,
PARAGMILK,2025-12-09,2025-12-09,303.20,2025-12-16,309.20,1.98%,19.79,1000.00,
NIFTYMETAL,2025-12-09,,,,,,,1000.00,no price data
CNXINFRA,2025-12-09,,,,,,,1000.00,no price data
NIFTY100LIQ15,2025-12-09,,,,,,,1000.00,no price data
SIGMA,2025-12-09,2025-12-09,50.25,2025-12-16,51.28,2.05%,20.50,1000.00,
MTARTECH,2025-12-09,2025-12-09,2332.40,2025-12-16,2381.00,2.08%,20.84,1000.00,
ANANDRATHI,2025-12-09,2025-12-09,2868.00,2025-12-16,2992.40,4.34%,43.38,1000.00,
NIFTYMIDSELECT,2025-12-10,,,,,,,1000.00,no price data
MNC,2025-12-10,2025-12-10,30.51,2025-12-17,30.91,1.31%,13.11,1000.00,
INFRAIETF,2025-12-10,2025-12-10,96.79,2025-12-17,97.63,0.87%,8.68,1000.00,
INDOTHAI,2025-12-10,2025-12-10,368.35,2025-12-17,379.40,3.00%,30.00,1000.00,
PARAGMILK,2025-12-10,2025-12-10,304.95,2025-12-17,304.75,-0.07%,-0.66,1000.00,
MIDSELIETF,2025-12-10,2025-12-10,18.12,2025-12-17,18.35,1.27%,12.69,1000.00,
CNXINFRA,2025-12-10,,,,,,,1000.00,no price data
NIFTY200,2025-12-10,,,,,,,1000.00,no price data
NIFTYMIDCAP50,2025-12-10,,,,,,,1000.00,no price data
NIFTYMIDLIQ15,2025-12-10,2025-12-10,15963.75,2025-12-17,16051.00,0.55%,5.47,1000.00,
NIFTY50EQLWGT,2025-12-10,,,,,,,1000.00,no price data
NIFTYGS813YR,2025-12-10,,,,,,,1000.00,no price data
ANANDRATHI,2025-12-10,2025-12-10,2869.60,2025-12-17,2989.60,4.18%,41.82,1000.00,
MTARTECH,2025-12-11,2025-12-11,2315.90,2025-12-18,2306.00,-0.43%,-4.27,1000.00,
INDOTHAI,2025-12-12,2025-12-12,368.15,2025-12-19,359.45,-2.36%,-23.63,1000.00,
BBETF0432,2025-12-12,2025-12-12,1305.47,,,,,1000.00,no exit (insufficient data)
TVSHLTD,2025-12-16,2025-12-16,14189.00,2025-12-23,14207.00,0.13%,1.27,1000.00,
TVSHLTD,2025-12-17,2025-12-17,14160.00,2025-12-24,14090.00,-0.49%,-4.94,1000.00,
RBLBANK,2025-12-17,2025-12-17,296.95,2025-12-24,305.95,3.03%,30.31,1000.00,
HEROMOTOCO,2025-12-18,2025-12-18,5748.50,2025-12-25,5698.50,-0.87%,-8.70,1000.00,
TVSHLTD,2025-12-18,2025-12-18,14152.00,2025-12-26,14091.00,-0.43%,-4.31,1000.00,
EBBETF0431,2025-12-18,2025-12-18,1391.86,2025-12-26,1392.69,0.06%,0.60,1000.00,
MTARTECH,2025-12-18,2025-12-18,2306.00,2025-12-25,2450.70,6.27%,62.75,1000.00,
HEROMOTOCO,2025-12-19,2025-12-19,5781.00,2025-12-26,5637.00,-2.49%,-24.91,1000.00,
LTGILTBEES,2025-12-22,2025-12-22,29.03,2025-12-30,29.18,0.52%,5.17,1000.00,
NIFTYGSCOMPSITE,2025-12-22,,,,,,,1000.00,no price data
NIFTYGS48YR,2025-12-22,,,,,,,1000.00,no price data
BBETF0432,2025-12-22,2025-12-22,1304.56,2025-12-29,1309.05,0.34%,3.44,1000.00,
LICNETFGSC,2025-12-23,,,,,,,1000.00,no price data
NIFTYGS48YR,2025-12-23,,,,,,,1000.00,no price data
EBBETF0431,2025-12-23,2025-12-23,1390.99,2025-12-31,1396.37,0.39%,3.87,1000.00,
BBETF0432,2025-12-23,2025-12-23,1304.81,2025-12-30,1310.50,0.44%,4.36,1000.00,
SOUTHBANK,2025-12-26,2025-12-26,37.64,2026-01-02,38.60,2.55%,25.50,1000.00,
JSWSTEEL,2025-12-29,2025-12-29,1092.60,,,,,1000.00,no exit (insufficient data)
SOUTHBANK,2025-12-29,2025-12-29,37.17,,,,,1000.00,no exit (insufficient data)
INDIANB,2025-12-29,2025-12-29,784.45,,,,,1000.00,no exit (insufficient data)
MINDACORP,2025-12-29,2025-12-29,566.75,,,,,1000.00,no exit (insufficient data)
NIFTYMIDLIQ15,2025-12-29,2025-12-29,15914.60,,,,,1000.00,no exit (insufficient data)
UJJIVANSFB,2025-12-29,2025-12-29,51.76,,,,,1000.00,no exit (insufficient data)
MFSL,2025-12-30,2025-12-30,1634.40,,,,,1000.00,no exit (insufficient data)
LUMAXIND,2025-12-30,2025-12-30,5192.50,,,,,1000.00,no exit (insufficient data)
MINDACORP,2025-12-30,2025-12-30,567.15,,,,,1000.00,no exit (insufficient data)
AGIIL,2025-12-30,2025-12-30,254.55,,,,,1000.00,no exit (insufficient data)
MON100,2025-12-30,2025-12-30,231.24,,,,,1000.00,no exit (insufficient data)
LUMAXIND,2025-12-31,2025-12-31,5218.00,,,,,1000.00,no exit (insufficient data)
TVSHLTD,2025-12-31,2025-12-31,13780.00,,,,,1000.00,no exit (insufficient data)
